"period","reporter_iso","reporter_desc","share_CHN","share_USA","more_with_china"
2000,"A59","North America and Central America, nes",2.39581172652892e-05,NA,NA
2000,"A79","LAIA, nes",0.000133471245371341,NA,NA
2000,"ABW","Aruba",0.00393837477588451,0.58431008486518,0
2000,"AFG","Afghanistan",0.0350366947906449,0.0123804401962239,1
2000,"AGO","Angola",0.192997620007671,0.388846974066222,0
2000,"AIA","Anguilla",0.000493555153601679,0.547982775911492,0
2000,"ALB","Albania",0.0109247892769216,0.0176910009688997,0
2000,"AND","Andorra",0.00554090301313751,0.0138153844799547,0
2000,"ANT","Netherlands Antilles (...2010)",0.00530577956873807,0.222001049949561,0
2000,"ARE","United Arab Emirates",0.027713976122142,0.0345098031528626,0
2000,"ARG","Argentina",0.0340991525078093,0.153501930712561,0
2000,"ARM","Armenia",0.0035424231641184,0.110283776392591,0
2000,"ATF","Fr. South Antarctic Terr.",NA,0.104772428974508,NA
2000,"ATG","Antigua and Barbuda",0.00149824896225897,0.203922741883642,0
2000,"AUS","Australia",0.0639909649043595,0.144489112779283,0
2000,"AUT","Austria",0.00923823361092509,0.0498364979006131,0
2000,"AZE","Azerbaijan",0.00565241182895547,0.0589868610890904,0
2000,"BDI","Burundi",0.0353923261210995,0.0349035991557761,1
2000,"BEL","Belgium",0.0127352519940297,0.0710519248437246,0
2000,"BEN","Benin",0.168231451710563,0.0200931788626877,1
2000,"BFA","Burkina Faso",0.0249650669548245,0.0236846952688963,1
2000,"BGD","Bangladesh",0.066254696806417,0.189686252668525,0
2000,"BGR","Bulgaria",0.00776994822530539,0.0326972077223852,0
2000,"BHR","Bahrain",0.0115237179921377,0.0582965302037307,0
2000,"BHS","Bahamas",0.00155247878229056,0.482957489531336,0
2000,"BIH","Bosnia Herzegovina",0.00113907218896294,0.0173766385570049,0
2000,"BLR","Belarus",0.00964177496776284,0.0121031751921918,0
2000,"BLZ","Belize",0.0062868341302478,0.441652490357158,0
2000,"BMU","Bermuda",0.00715700776390415,0.106236715772461,0
2000,"BOL","Bolivia (Plurinational State of)",0.0149640935397111,0.202513948592491,0
2000,"BRA","Brazil",0.0223955860870944,0.238613724631091,0
2000,"BRB","Barbados",0.00436677744571635,0.195820273116888,0
2000,"BRN","Brunei Darussalam",0.0147563002908031,0.107154424467311,0
2000,"BTN","Bhutan",0.063606039884848,0.0252748738589838,1
2000,"BWA","Botswana",0.00298161279163705,0.0179749196690692,0
2000,"CAF","Central African Rep.",0.00248588526733459,0.0110531268537621,0
2000,"CAN","Canada",0.0158433847924212,0.753443361628028,0
2000,"CCK","Cocos Isds",NA,0.138606268009935,NA
2000,"CHE","Switzerland",0.0125399387971175,0.110502814539874,0
2000,"CHL","Chile",0.0549972286463673,0.180083614865346,0
2000,"CHN","China",0.0248344515915801,0.165083335951004,0
2000,"CIV","Côte d'Ivoire",0.0213108096912554,0.0616240191957587,0
2000,"CMR","Cameroon",0.0423998502227634,0.041622927561307,1
2000,"COD","Dem. Rep. of the Congo",0.010580627580192,0.122596961021514,0
2000,"COG","Congo",0.124219303838486,0.222771763582653,0
2000,"COK","Cook Isds",0.00735170422956132,0.0823948835984434,0
2000,"COL","Colombia",0.0114897053633697,0.424349006148553,0
2000,"COM","Comoros",0.00660375913167467,0.0385694963505259,0
2000,"CPV","Cabo Verde",0.0272209978333188,0.0380995171318546,0
2000,"CRI","Costa Rica",0.00691624629354013,0.496101884616392,0
2000,"CUB","Cuba",0.0763833867598487,0.00150619873200437,1
2000,"CXR","Christmas Isds",NA,0.0432308424544647,NA
2000,"CYM","Cayman Isds",0.000962747076699952,0.242510664722645,0
2000,"CYP","Cyprus",0.0224054163297394,0.0497131751433007,0
2000,"CZE","Czechia",0.00983431726747857,0.033206166023055,0
2000,"DEU","Germany",0.021930931900715,0.090849634186987,0
2000,"DJI","Djibouti",0.105768074762179,0.033579327955079,1
2000,"DMA","Dominica",0.141337282219082,0.18075540840505,0
2000,"DNK","Denmark",0.016425574894992,0.0479175920838524,0
2000,"DOM","Dominican Rep.",0.0056552015184341,0.656429838111034,0
2000,"DZA","Algeria",0.00712231414602212,0.135792517024076,0
2000,"ECU","Ecuador",0.0158603487455719,0.328536560543677,0
2000,"EGY","Egypt",0.035839186881121,0.151501652006518,0
2000,"ERI","Eritrea",0.0159989205534123,0.105845519945683,0
2000,"ESH","Western Sahara",0.0044673115906253,0.00681351200385883,0
2000,"ESP","Spain",0.0141314050356592,0.047613623738772,0
2000,"EST","Estonia",0.0101600499004462,0.0367384451852902,0
2000,"ETH","Ethiopia",0.0424950860156426,0.0741045195544775,0
2000,"F19","Other Africa, nes",0.000579705845301594,NA,NA
2000,"FIN","Finland",0.0340286549266752,0.0650729552384247,0
2000,"FJI","Fiji",0.0122666721276012,0.119440804852342,0
2000,"FLK","Falkland Isds (Malvinas)",NA,0.0208750170618727,NA
2000,"FRA","France",0.0164040890423213,0.0833449218738343,0
2000,"FRO","Faeroe Isds",0.00825188849914351,0.0383256890510284,0
2000,"FSM","FS Micronesia",0.010243892346742,0.266608880701826,0
2000,"GAB","Gabon",0.0669010925113381,0.509592994363044,0
2000,"GBR","United Kingdom",0.0211170684207952,0.134591191369186,0
2000,"GEO","Georgia",0.00294252140444635,0.0832763690625415,0
2000,"GHA","Ghana",0.025808514545626,0.0760485864803966,0
2000,"GIB","Gibraltar",0.0130712053700937,0.00723941391550212,1
2000,"GIN","Guinea",0.0215436873391814,0.0937175524467016,0
2000,"GMB","Gambia",0.158055032437555,0.0271731292205861,1
2000,"GNB","Guinea-Bissau",0.0169784120764085,0.00291899532895763,1
2000,"GNQ","Equatorial Guinea",0.202042472486266,0.156647265446552,1
2000,"GRC","Greece",0.0165482608879658,0.0423774098162558,0
2000,"GRD","Grenada",0.00375249604261974,0.410460481093061,0
2000,"GRL","Greenland",0.00540355960391728,0.0189175846498048,0
2000,"GTM","Guatemala",0.0104196948378137,0.412194416828527,0
2000,"GUY","Guyana",0.0148316355187532,0.315664728028708,0
2000,"HKG","China, Hong Kong SAR",0.333338409601462,0.135313972815818,1
2000,"HMD","Heard Island and McDonald Islands",NA,0.437937926119122,NA
2000,"HND","Honduras",0.00610413669997415,0.61491732538613,0
2000,"HRV","Croatia",0.00762930216280854,0.0254278609351376,0
2000,"HTI","Haiti",0.0119698931749823,0.665819804367105,0
2000,"HUN","Hungary",0.0163517625458302,0.0495071632171465,0
2000,"IDN","Indonesia",0.0597230428093905,0.120145495300516,0
2000,"IND","India",0.0253063433273684,0.130935633840392,0
2000,"IOT","Br. Indian Ocean Terr.",NA,0.0353217289281937,NA
2000,"IRL","Ireland",0.00633048025075678,0.170416324155212,0
2000,"IRN","Iran",0.0318036922411917,0.00338234891505524,1
2000,"IRQ","Iraq",0.0485773872920577,0.302769219070679,0
2000,"ISL","Iceland",0.00942956266444755,0.107405158337031,0
2000,"ISR","Israel",0.0138822786879787,0.282868692109487,0
2000,"ITA","Italy",0.0168197698763528,0.0792372839076855,0
2000,"JAM","Jamaica",0.0142515924513097,0.433225366856051,0
2000,"JOR","Jordan",0.0363292900860896,0.0701843260645179,0
2000,"JPN","Japan",0.10022605108595,0.253179201309702,0
2000,"KAZ","Kazakhstan",0.0728266995468776,0.0308026367410199,1
2000,"KEN","Kenya",0.0274903005504049,0.0580085535771128,0
2000,"KGZ","Kyrgyzstan",0.119529141689459,0.0376068533666634,1
2000,"KHM","Cambodia",0.0571038368906506,0.258691923699817,0
2000,"KIR","Kiribati",0.0177746043714892,0.0813495140514925,0
2000,"KNA","Saint Kitts and Nevis",0.00130534106584491,0.486300963738542,0
2000,"KOR","Rep. of Korea",0.102521410073497,0.210848793186311,0
2000,"KWT","Kuwait",0.013979980326873,0.0632838349542935,0
2000,"LAO","Lao People's Dem. Rep.",0.0420294276778639,0.0141198846055152,1
2000,"LBN","Lebanon",0.0335045468330696,0.0685157249325779,0
2000,"LBR","Liberia",0.0282699148306983,0.0155227588642135,1
2000,"LBY","Libya",0.00437182660205875,0.00202464489115393,1
2000,"LCA","Saint Lucia",0.0119535084578104,0.322161165994992,0
2000,"LKA","Sri Lanka",0.0310720757449367,0.201645478541791,0
2000,"LSO","Lesotho",0.0204362953703691,0.18365176947207,0
2000,"LTU","Lithuania",0.00649863262910605,0.0266351553938163,0
2000,"LUX","Luxembourg",0.00555538488359868,0.0473620958056094,0
2000,"LVA","Latvia",0.00374298757057154,0.0411686676575385,0
2000,"MAC","China, Macao SAR",0.196478955071655,0.280494906441304,0
2000,"MAR","Morocco",0.0170765182148196,0.0497446507983086,0
2000,"MDA","Rep. of Moldova",0.00384407792971061,0.0624674674484419,0
2000,"MDG","Madagascar",0.0509478559318573,0.0953944358782595,0
2000,"MDV","Maldives",0.00304573670601736,0.134372261262142,0
2000,"MEX","Mexico",0.00768789151140435,0.8000798318661,0
2000,"MHL","Marshall Isds",0.00261355556378141,0.0909139521003542,0
2000,"MKD","North Macedonia",0.00298087919877248,0.0661262202249598,0
2000,"MLI","Mali",0.0146461684114986,0.0196702802546448,0
2000,"MLT","Malta",0.0113907964738277,0.138178488637727,0
2000,"MMR","Myanmar",0.138293643070804,0.108583381447198,1
2000,"MNG","Mongolia",0.309761835411962,0.129768075685383,1
2000,"MOZ","Mozambique",0.0143367099868501,0.0340426589366506,0
2000,"MRT","Mauritania",0.0186980830897494,0.0229483984163436,0
2000,"MSR","Montserrat",0.00126133227333863,0.424707147109728,0
2000,"MUS","Mauritius",0.0378174941941844,0.0939937505233947,0
2000,"MWI","Malawi",0.0145807137355934,0.0655422302608305,0
2000,"MYS","Malaysia",0.0369971811704652,0.18169048203977,0
2000,"MYT","Mayotte (Overseas France)",0.0332847552400485,0.0221997676031953,1
2000,"NAM","Namibia",0.00489634546351354,0.0475169099587815,0
2000,"NCL","New Caledonia",0.00890377337982254,0.0372697762253645,0
2000,"NER","Niger",0.0287949488930919,0.0657680419529548,0
2000,"NFK","Norfolk Isds",0.030275186954093,0.0912168793792114,0
2000,"NGA","Nigeria",0.0192423167760027,0.360757931599818,0
2000,"NIC","Nicaragua",0.0109210156177968,0.331846072130593,0
2000,"NIU","Niue",NA,0.0101016291865483,NA
2000,"NLD","Netherlands",0.0182254829636504,0.0736621462636037,0
2000,"NOR","Norway",0.012678821547781,0.0793439142130689,0
2000,"NPL","Nepal",0.0831762787480676,0.12434179275632,0
2000,"NRU","Nauru",0.000526567204903508,0.0558277939294353,0
2000,"NZL","New Zealand",0.0425561607213652,0.152257105089993,0
2000,"O19","Oceania, nes",0.00798031229181316,NA,NA
2000,"OMN","Oman",0.19296110564402,0.0248531558660242,1
2000,"PAK","Pakistan",0.0739398824002925,0.167216316292766,0
2000,"PAN","Panama",0.0527700270026627,0.13631644289314,0
2000,"PCN","Pitcairn",NA,0.0733176401478304,NA
2000,"PER","Peru",0.0516701047082411,0.256532005020268,0
2000,"PHL","Philippines",0.0285366178073419,0.249729846034854,0
2000,"PLW","Palau",0.0479921065002259,0.391437030887119,0
2000,"PNG","Papua New Guinea",0.021349127153463,0.0135237783826298,1
2000,"POL","Poland",0.0155623762211356,0.0317671082575897,0
2000,"PRK","Dem. People's Rep. of Korea",0.166700022496221,0.000987229035848832,1
2000,"PRT","Portugal",0.00548500249560404,0.0398280588808702,0
2000,"PRY","Paraguay",0.037378673495179,0.0716102266437329,0
2000,"PSE","State of Palestine",0.0290049752218761,0.0652686877791728,0
2000,"PYF","French Polynesia",0.013496962345101,0.129239150193058,0
2000,"QAT","Qatar",0.0318017675507918,0.0492656460635099,0
2000,"ROU","Romania",0.0117721846492593,0.0312675636012837,0
2000,"RUS","Russian Federation",0.0483190793576008,0.0581943905428963,0
2000,"RWA","Rwanda",0.0258311808915078,0.1035081390578,0
2000,"S19","Other Asia, nes",0.0909793441743098,0.193411180755176,0
2000,"SAU","Saudi Arabia",0.012372684854311,0.0763361695993566,0
2000,"SCG","Serbia and Montenegro (...2005)",0.0137641132098416,0.00990250232635488,1
2000,"SDN","Sudan (...2011)",0.295934055128618,0.00795743750105211,1
2000,"SEN","Senegal",0.0214018007385734,0.0292061756417512,0
2000,"SGP","Singapore",0.0456251327297609,0.158783888744266,0
2000,"SHN","Saint Helena",NA,0.0592717440368125,NA
2000,"SLB","Solomon Isds",0.0680657614259971,0.0305801271925827,1
2000,"SLE","Sierra Leone",0.035392061096872,0.0487328486538444,0
2000,"SLV","El Salvador",0.00689006071524591,0.577126506634372,0
2000,"SMR","San Marino",0.00398694735215537,0.0549289524579236,0
2000,"SOM","Somalia",0.00243996157256595,0.0122486322432392,0
2000,"SPM","Saint Pierre and Miquelon",NA,0.124012394733052,NA
2000,"STP","Sao Tome and Principe",0.00223777292532163,0.0184545904012977,0
2000,"SUR","Suriname",0.00928561192869068,0.159913399297743,0
2000,"SVK","Slovakia",0.00498567539362103,0.0162014137082942,0
2000,"SVN","Slovenia",0.0058661671682893,0.0274672984296258,0
2000,"SWE","Sweden",0.0199384887901211,0.0855397692227942,0
2000,"SWZ","Eswatini",0.00233861890506633,0.0639618969652159,0
2000,"SYC","Seychelles",0.00468030602749871,0.0182975590001775,0
2000,"SYR","Syria",0.0194929010845347,0.0430549446275381,0
2000,"TCA","Turks and Caicos Isds",0.00107848837309882,0.734283658373847,0
2000,"TCD","Chad",0.00269528198942677,0.0651763371134177,0
2000,"TGO","Togo",0.0533715675353792,0.0131338631867502,1
2000,"THA","Thailand",0.047968860005274,0.168589085982971,0
2000,"TJK","Tajikistan",0.0132338822128276,0.00883300233725071,1
2000,"TKL","Tokelau",NA,0.552757568605251,NA
2000,"TKM","Turkmenistan",0.00523273171183599,0.0245589184392606,0
2000,"TLS","Timor-Leste",NA,0.00171295383282639,NA
2000,"TON","Tonga",0.0222722545558817,0.124266310962023,0
2000,"TTO","Trinidad and Tobago",0.00526589841953105,0.431842241229487,0
2000,"TUN","Tunisia",0.00676900436011295,0.027738892740825,0
2000,"TUR","Türkiye",0.0162900084399453,0.0850277224439408,0
2000,"TUV","Tuvalu",NA,0.00337519878394684,NA
2000,"TZA","United Rep. of Tanzania",0.0299385622355655,0.0283555930078827,1
2000,"UGA","Uganda",0.0179749463139381,0.0386314872790862,0
2000,"UKR","Ukraine",0.0228859036100781,0.0371401911881151,0
2000,"URY","Uruguay",0.0419588355090587,0.105779208615636,0
2000,"USA","USA",0.0476968614510243,NA,NA
2000,"UZB","Uzbekistan",0.0102072639445942,0.0394504671116913,0
2000,"VAT","Holy See (Vatican City State)",NA,0.197077699763436,NA
2000,"VCT","Saint Vincent and the Grenadines",0.0208120974397498,0.156221850197116,0
2000,"VEN","Venezuela",0.00603469366204187,0.509320023150746,0
2000,"VGB","Br. Virgin Isds",0.000135026966341352,0.0182525959855662,0
2000,"VNM","Viet Nam",0.0905287907880277,0.0382940381350809,1
2000,"VUT","Vanuatu",0.00670454759644662,0.00867764163524938,0
2000,"WLF","Wallis and Futuna Isds",0.0272243251630761,0.0174480703611089,1
2000,"WSM","Samoa",0.00866451012992583,0.294974554714057,0
2000,"YEM","Yemen",0.154700702757641,0.0755067268033462,1
2000,"ZAF","South Africa",0.0273060112863568,0.104093020347495,0
2000,"ZMB","Zambia",0.0315629307899461,0.0235540346675938,1
2000,"ZWE","Zimbabwe",0.0266165908542562,0.0368320619141278,0
